outlet_code,item_department,week,total_sales_qty,sales_next_week,fe_avg_4_week_sales,fe_4_weeks_std_dev_weekly,fe_4_weeks_weekly_min_sales,fe_4_weeks_weekly_max_sales,previous_week_sales,prev_2_weeks_sales,prev_3_weeks_sales,prev_month_sales,outlet_min_sales,outlet_max_sales,fe_sales_change_vs_next_week,fe_sales_change_vs_previous_week,fe_sales_to_max_sales_ratio,fe_cumulative_sales,month,week_month,week_year,quarter_year,outlet_area,outlet_parking_lots,outlet_profile_category,outlet_cluster_category,item_category,row
C,Beverages,2022-01-17,465.0,1569.0,1268.5,244.02527191529433,1010.0,1587.0,0.0,0.0,0.0,0.0,27.0,2903.0,1104.0,136.0,0.10104302477183832,251396.0,1,3,3,1,14425,41,High,Large,Multiple Consumption RTD Beverages,4.0
C,Beverages,2022-01-17,465.0,1569.0,1268.5,244.02527191529433,1010.0,1587.0,0.0,0.0,0.0,0.0,27.0,2903.0,1104.0,136.0,0.10104302477183832,251396.0,1,3,3,1,14425,41,High,Large,Non Flavored Tea,5.0
A,Chilled,2022-01-17,86.0,256.0,1208.5,261.282095317175,1010.0,1587.0,0.0,0.0,0.0,0.0,40.0,3516.0,170.0,-194.0,0.018687527162103434,51928.0,1,3,3,1,10150,52,Moderate,Small,Fat Spread,1.0
A,Chilled,2022-01-17,86.0,256.0,1208.5,261.282095317175,1010.0,1587.0,0.0,0.0,0.0,0.0,40.0,3516.0,170.0,-194.0,0.018687527162103434,51928.0,1,3,3,1,10150,52,Moderate,Small,Curd,2.0
A,Chilled,2022-01-17,86.0,256.0,1208.5,261.282095317175,1010.0,1587.0,0.0,0.0,0.0,0.0,40.0,3516.0,170.0,-194.0,0.018687527162103434,51928.0,1,3,3,1,10150,52,Moderate,Small,Butter,3.0
A,Chilled,2022-01-17,86.0,256.0,1208.5,261.282095317175,1010.0,1587.0,0.0,0.0,0.0,0.0,40.0,3516.0,170.0,-194.0,0.018687527162103434,51928.0,1,3,3,1,10150,52,Moderate,Small,Whipping Cream,4.0
A,Chilled,2022-01-17,86.0,256.0,1208.5,261.282095317175,1010.0,1587.0,0.0,0.0,0.0,0.0,40.0,3516.0,170.0,-194.0,0.018687527162103434,51928.0,1,3,3,1,10150,52,Moderate,Small,Stirred Yogurt,5.0
E,Grocery,2022-01-17,0.0,0.0,1280.25,286.47556614831916,1010.0,1587.0,0.0,0.0,0.0,0.0,0.0,1051.0,0.0,-14.0,0.0,564797.0,1,3,3,1,10000,12,High,Medium,Ambient Instant Noodles,1.0
E,Grocery,2022-01-17,0.0,0.0,1280.25,286.47556614831916,1010.0,1587.0,0.0,0.0,0.0,0.0,0.0,1051.0,0.0,-14.0,0.0,564797.0,1,3,3,1,10000,12,High,Medium,Rice,2.0
E,Grocery,2022-01-17,0.0,0.0,1280.25,286.47556614831916,1010.0,1587.0,0.0,0.0,0.0,0.0,0.0,1051.0,0.0,-14.0,0.0,564797.0,1,3,3,1,10000,12,High,Medium,Sweet Biscuits & Cookies Regular,3.0
E,Grocery,2022-01-17,0.0,0.0,1280.25,286.47556614831916,1010.0,1587.0,0.0,0.0,0.0,0.0,0.0,1051.0,0.0,-14.0,0.0,564797.0,1,3,3,1,10000,12,High,Medium,Sugar Confectionary,4.0
E,Grocery,2022-01-17,0.0,0.0,1280.25,286.47556614831916,1010.0,1587.0,0.0,0.0,0.0,0.0,0.0,1051.0,0.0,-14.0,0.0,564797.0,1,3,3,1,10000,12,High,Medium,"Snack-Nuts,Peas & Mixes",5.0
C,Grocery,2022-01-17,464.0,1989.0,1136.5,217.11057090800531,1010.0,1460.0,0.0,0.0,0.0,0.0,27.0,2903.0,1525.0,437.0,0.10082572794437202,313237.0,1,3,3,1,14425,41,High,Large,Ambient Instant Noodles,1.0
C,Grocery,2022-01-17,464.0,1989.0,1136.5,217.11057090800531,1010.0,1460.0,0.0,0.0,0.0,0.0,27.0,2903.0,1525.0,437.0,0.10082572794437202,313237.0,1,3,3,1,14425,41,High,Large,Sweet Biscuits & Cookies Regular,2.0
C,Grocery,2022-01-17,464.0,1989.0,1136.5,217.11057090800531,1010.0,1460.0,0.0,0.0,0.0,0.0,27.0,2903.0,1525.0,437.0,0.10082572794437202,313237.0,1,3,3,1,14425,41,High,Large,Rice,3.0
C,Grocery,2022-01-17,464.0,1989.0,1136.5,217.11057090800531,1010.0,1460.0,0.0,0.0,0.0,0.0,27.0,2903.0,1525.0,437.0,0.10082572794437202,313237.0,1,3,3,1,14425,41,High,Large,Liquid Cooking Oils & Fats,4.0
C,Grocery,2022-01-17,464.0,1989.0,1136.5,217.11057090800531,1010.0,1460.0,0.0,0.0,0.0,0.0,27.0,2903.0,1525.0,437.0,0.10082572794437202,313237.0,1,3,3,1,14425,41,High,Large,Crackers,5.0
C,Chilled,2022-01-17,48.0,209.0,1084.5,274.7623215314162,802.0,1460.0,0.0,0.0,0.0,0.0,27.0,2903.0,161.0,-321.0,0.010430247718383311,306146.0,1,3,3,1,14425,41,High,Large,Fat Spread,1.0
C,Chilled,2022-01-17,48.0,209.0,1084.5,274.7623215314162,802.0,1460.0,0.0,0.0,0.0,0.0,27.0,2903.0,161.0,-321.0,0.010430247718383311,306146.0,1,3,3,1,14425,41,High,Large,Butter,2.0
C,Chilled,2022-01-17,48.0,209.0,1084.5,274.7623215314162,802.0,1460.0,0.0,0.0,0.0,0.0,27.0,2903.0,161.0,-321.0,0.010430247718383311,306146.0,1,3,3,1,14425,41,High,Large,Curd,3.0
C,Chilled,2022-01-17,48.0,209.0,1084.5,274.7623215314162,802.0,1460.0,0.0,0.0,0.0,0.0,27.0,2903.0,161.0,-321.0,0.010430247718383311,306146.0,1,3,3,1,14425,41,High,Large,Whipping Cream,4.0
C,Chilled,2022-01-17,48.0,209.0,1084.5,274.7623215314162,802.0,1460.0,0.0,0.0,0.0,0.0,27.0,2903.0,161.0,-321.0,0.010430247718383311,306146.0,1,3,3,1,14425,41,High,Large,Cheese Slices,5.0
E,Chilled,2022-01-17,0.0,0.0,1268.75,448.5691139612713,802.0,1801.0,0.0,0.0,0.0,0.0,0.0,1051.0,0.0,-73.0,0.0,563175.0,1,3,3,1,10000,12,High,Medium,Fat Spread,1.0
E,Chilled,2022-01-17,0.0,0.0,1268.75,448.5691139612713,802.0,1801.0,0.0,0.0,0.0,0.0,0.0,1051.0,0.0,-73.0,0.0,563175.0,1,3,3,1,10000,12,High,Medium,Curd,2.0
E,Chilled,2022-01-17,0.0,0.0,1268.75,448.5691139612713,802.0,1801.0,0.0,0.0,0.0,0.0,0.0,1051.0,0.0,-73.0,0.0,563175.0,1,3,3,1,10000,12,High,Medium,Butter,3.0
E,Chilled,2022-01-17,0.0,0.0,1268.75,448.5691139612713,802.0,1801.0,0.0,0.0,0.0,0.0,0.0,1051.0,0.0,-73.0,0.0,563175.0,1,3,3,1,10000,12,High,Medium,Whipping Cream,4.0
E,Chilled,2022-01-17,0.0,0.0,1268.75,448.5691139612713,802.0,1801.0,0.0,0.0,0.0,0.0,0.0,1051.0,0.0,-73.0,0.0,563175.0,1,3,3,1,10000,12,High,Medium,Stirred Yogurt,5.0
D,Grocery,2022-01-17,1094.0,3104.0,1198.0,430.29524747549794,802.0,1801.0,0.0,0.0,0.0,0.0,52.0,4602.0,2010.0,1042.0,0.23772272924815296,441370.0,1,3,3,1,11237,68,Moderate,Small,Ambient Instant Noodles,1.0
D,Grocery,2022-01-17,1094.0,3104.0,1198.0,430.29524747549794,802.0,1801.0,0.0,0.0,0.0,0.0,52.0,4602.0,2010.0,1042.0,0.23772272924815296,441370.0,1,3,3,1,11237,68,Moderate,Small,Rice,2.0
D,Grocery,2022-01-17,1094.0,3104.0,1198.0,430.29524747549794,802.0,1801.0,0.0,0.0,0.0,0.0,52.0,4602.0,2010.0,1042.0,0.23772272924815296,441370.0,1,3,3,1,11237,68,Moderate,Small,Sweet Biscuits & Cookies Regular,3.0
D,Grocery,2022-01-17,1094.0,3104.0,1198.0,430.29524747549794,802.0,1801.0,0.0,0.0,0.0,0.0,52.0,4602.0,2010.0,1042.0,0.23772272924815296,441370.0,1,3,3,1,11237,68,Moderate,Small,Crackers,4.0
D,Grocery,2022-01-17,1094.0,3104.0,1198.0,430.29524747549794,802.0,1801.0,0.0,0.0,0.0,0.0,52.0,4602.0,2010.0,1042.0,0.23772272924815296,441370.0,1,3,3,1,11237,68,Moderate,Small,"Snack-Nuts,Peas & Mixes",5.0
D,Beverages,2022-01-24,1158.0,990.0,1251.25,412.41271803861724,802.0,1801.0,534.0,1692.0,0.0,0.0,52.0,4602.0,-168.0,624.0,0.2516297262059974,388368.0,1,4,4,1,11237,68,Moderate,Small,Ambient Liquid Milk,1.0
D,Beverages,2022-01-24,1158.0,990.0,1251.25,412.41271803861724,802.0,1801.0,534.0,1692.0,0.0,0.0,52.0,4602.0,-168.0,624.0,0.2516297262059974,388368.0,1,4,4,1,11237,68,Moderate,Small,Single Consumption RTD Beverages,2.0
D,Beverages,2022-01-24,1158.0,990.0,1251.25,412.41271803861724,802.0,1801.0,534.0,1692.0,0.0,0.0,52.0,4602.0,-168.0,624.0,0.2516297262059974,388368.0,1,4,4,1,11237,68,Moderate,Small,Powdered Milk,3.0
D,Beverages,2022-01-24,1158.0,990.0,1251.25,412.41271803861724,802.0,1801.0,534.0,1692.0,0.0,0.0,52.0,4602.0,-168.0,624.0,0.2516297262059974,388368.0,1,4,4,1,11237,68,Moderate,Small,Multiple Consumption RTD Beverages,4.0
D,Beverages,2022-01-24,1158.0,990.0,1251.25,412.41271803861724,802.0,1801.0,534.0,1692.0,0.0,0.0,52.0,4602.0,-168.0,624.0,0.2516297262059974,388368.0,1,4,4,1,11237,68,Moderate,Small,Concentrated Liquid Drinks,5.0
E,Chilled,2022-01-24,0.0,0.0,1239.5,429.7825031338526,755.0,1801.0,0.0,0.0,0.0,0.0,0.0,1051.0,0.0,0.0,0.0,563175.0,1,4,4,1,10000,12,High,Medium,Fat Spread,1.0
E,Chilled,2022-01-24,0.0,0.0,1239.5,429.7825031338526,755.0,1801.0,0.0,0.0,0.0,0.0,0.0,1051.0,0.0,0.0,0.0,563175.0,1,4,4,1,10000,12,High,Medium,Curd,2.0
E,Chilled,2022-01-24,0.0,0.0,1239.5,429.7825031338526,755.0,1801.0,0.0,0.0,0.0,0.0,0.0,1051.0,0.0,0.0,0.0,563175.0,1,4,4,1,10000,12,High,Medium,Butter,3.0
E,Chilled,2022-01-24,0.0,0.0,1239.5,429.7825031338526,755.0,1801.0,0.0,0.0,0.0,0.0,0.0,1051.0,0.0,0.0,0.0,563175.0,1,4,4,1,10000,12,High,Medium,Whipping Cream,4.0
E,Chilled,2022-01-24,0.0,0.0,1239.5,429.7825031338526,755.0,1801.0,0.0,0.0,0.0,0.0,0.0,1051.0,0.0,0.0,0.0,563175.0,1,4,4,1,10000,12,High,Medium,Stirred Yogurt,5.0
C,Beverages,2022-01-24,1569.0,1480.0,1037.5,213.23148610528102,755.0,1225.0,465.0,2034.0,0.0,0.0,27.0,2903.0,-89.0,1104.0,0.3409387222946545,252965.0,1,4,4,1,14425,41,High,Large,Ambient Liquid Milk,1.0
C,Beverages,2022-01-24,1569.0,1480.0,1037.5,213.23148610528102,755.0,1225.0,465.0,2034.0,0.0,0.0,27.0,2903.0,-89.0,1104.0,0.3409387222946545,252965.0,1,4,4,1,14425,41,High,Large,Powdered Milk,2.0
C,Beverages,2022-01-24,1569.0,1480.0,1037.5,213.23148610528102,755.0,1225.0,465.0,2034.0,0.0,0.0,27.0,2903.0,-89.0,1104.0,0.3409387222946545,252965.0,1,4,4,1,14425,41,High,Large,Single Consumption RTD Beverages,3.0
C,Beverages,2022-01-24,1569.0,1480.0,1037.5,213.23148610528102,755.0,1225.0,465.0,2034.0,0.0,0.0,27.0,2903.0,-89.0,1104.0,0.3409387222946545,252965.0,1,4,4,1,14425,41,High,Large,Multiple Consumption RTD Beverages,4.0
C,Beverages,2022-01-24,1569.0,1480.0,1037.5,213.23148610528102,755.0,1225.0,465.0,2034.0,0.0,0.0,27.0,2903.0,-89.0,1104.0,0.3409387222946545,252965.0,1,4,4,1,14425,41,High,Large,Non Flavored Tea,5.0
D,Grocery,2022-01-24,3104.0,3131.0,1127.25,333.27903724456877,755.0,1536.0,1094.0,4198.0,0.0,0.0,52.0,4602.0,27.0,2010.0,0.6744893524554542,444474.0,1,4,4,1,11237,68,Moderate,Small,Ambient Instant Noodles,1.0
D,Grocery,2022-01-24,3104.0,3131.0,1127.25,333.27903724456877,755.0,1536.0,1094.0,4198.0,0.0,0.0,52.0,4602.0,27.0,2010.0,0.6744893524554542,444474.0,1,4,4,1,11237,68,Moderate,Small,Rice,2.0
D,Grocery,2022-01-24,3104.0,3131.0,1127.25,333.27903724456877,755.0,1536.0,1094.0,4198.0,0.0,0.0,52.0,4602.0,27.0,2010.0,0.6744893524554542,444474.0,1,4,4,1,11237,68,Moderate,Small,Sweet Biscuits & Cookies Regular,3.0
D,Grocery,2022-01-24,3104.0,3131.0,1127.25,333.27903724456877,755.0,1536.0,1094.0,4198.0,0.0,0.0,52.0,4602.0,27.0,2010.0,0.6744893524554542,444474.0,1,4,4,1,11237,68,Moderate,Small,Crackers,4.0
D,Grocery,2022-01-24,3104.0,3131.0,1127.25,333.27903724456877,755.0,1536.0,1094.0,4198.0,0.0,0.0,52.0,4602.0,27.0,2010.0,0.6744893524554542,444474.0,1,4,4,1,11237,68,Moderate,Small,"Snack-Nuts,Peas & Mixes",5.0
A,Grocery,2022-01-24,2683.0,2537.0,1247.75,447.84623477260584,755.0,1707.0,854.0,3537.0,0.0,0.0,40.0,3516.0,-146.0,1829.0,0.5830073880921338,66336.0,1,4,4,1,10150,52,Moderate,Small,Ambient Instant Noodles,1.0
A,Grocery,2022-01-24,2683.0,2537.0,1247.75,447.84623477260584,755.0,1707.0,854.0,3537.0,0.0,0.0,40.0,3516.0,-146.0,1829.0,0.5830073880921338,66336.0,1,4,4,1,10150,52,Moderate,Small,Rice,2.0
A,Grocery,2022-01-24,2683.0,2537.0,1247.75,447.84623477260584,755.0,1707.0,854.0,3537.0,0.0,0.0,40.0,3516.0,-146.0,1829.0,0.5830073880921338,66336.0,1,4,4,1,10150,52,Moderate,Small,Sweet Biscuits & Cookies Regular,3.0
A,Grocery,2022-01-24,2683.0,2537.0,1247.75,447.84623477260584,755.0,1707.0,854.0,3537.0,0.0,0.0,40.0,3516.0,-146.0,1829.0,0.5830073880921338,66336.0,1,4,4,1,10150,52,Moderate,Small,Crackers,4.0
A,Grocery,2022-01-24,2683.0,2537.0,1247.75,447.84623477260584,755.0,1707.0,854.0,3537.0,0.0,0.0,40.0,3516.0,-146.0,1829.0,0.5830073880921338,66336.0,1,4,4,1,10150,52,Moderate,Small,Sugar Confectionary,5.0
B,Grocery,2022-01-24,1568.0,1676.0,1394.75,306.3400887902202,993.0,1707.0,536.0,2104.0,0.0,0.0,32.0,2395.0,108.0,1032.0,0.3407214254671882,192509.0,1,4,4,1,11500,50,High,Medium,Ambient Instant Noodles,1.0
B,Grocery,2022-01-24,1568.0,1676.0,1394.75,306.3400887902202,993.0,1707.0,536.0,2104.0,0.0,0.0,32.0,2395.0,108.0,1032.0,0.3407214254671882,192509.0,1,4,4,1,11500,50,High,Medium,Rice,2.0
B,Grocery,2022-01-24,1568.0,1676.0,1394.75,306.3400887902202,993.0,1707.0,536.0,2104.0,0.0,0.0,32.0,2395.0,108.0,1032.0,0.3407214254671882,192509.0,1,4,4,1,11500,50,High,Medium,Sweet Biscuits & Cookies Regular,3.0
B,Grocery,2022-01-24,1568.0,1676.0,1394.75,306.3400887902202,993.0,1707.0,536.0,2104.0,0.0,0.0,32.0,2395.0,108.0,1032.0,0.3407214254671882,192509.0,1,4,4,1,11500,50,High,Medium,"Snack-Nuts,Peas & Mixes",4.0
B,Grocery,2022-01-24,1568.0,1676.0,1394.75,306.3400887902202,993.0,1707.0,536.0,2104.0,0.0,0.0,32.0,2395.0,108.0,1032.0,0.3407214254671882,192509.0,1,4,4,1,11500,50,High,Medium,Sugar Confectionary,5.0
D,Chilled,2022-01-24,300.0,351.0,1482.0,175.55815750533114,1342.0,1707.0,107.0,407.0,0.0,0.0,52.0,4602.0,51.0,193.0,0.0651890482398957,428993.0,1,4,4,1,11237,68,Moderate,Small,Fat Spread,1.0
D,Chilled,2022-01-24,300.0,351.0,1482.0,175.55815750533114,1342.0,1707.0,107.0,407.0,0.0,0.0,52.0,4602.0,51.0,193.0,0.0651890482398957,428993.0,1,4,4,1,11237,68,Moderate,Small,Curd,2.0
