outlet_code,item_code,DATE,sales_qty
B,673,4/22/2022,1
A,110320,4/4/2022,16
D,43135,5/6/2022,15
D,27790,5/22/2022,3
D,123307,7/3/2022,62
D,95137,9/11/2022,19
D,898,9/16/2022,14
A,120994,9/8/2022,6
B,40381,2/18/2022,5
B,102490,2/24/2022,10.546
B,11293,3/20/2022,11
C,898,6/29/2022,14
E,123307,8/5/2022,26
A,117376,2/13/2022,52
A,117520,5/4/2022,15
D,11509,2/17/2022,3
D,57058,3/20/2022,7
D,92491,4/1/2022,4
D,3679,7/4/2022,2
D,259,8/5/2022,7
C,3283,8/25/2022,1
C,898,7/12/2022,67
B,99457,3/18/2022,2
B,122767,6/22/2022,4
B,23146,10/18/2022,2
A,9979,2/14/2022,4
A,898,7/13/2022,4
D,107836,1/28/2022,4
D,110320,7/23/2022,16
D,268,8/12/2022,6
A,119554,8/21/2022,22
B,304,4/2/2022,5
B,119554,5/20/2022,13
A,40381,5/31/2022,8
D,322,8/13/2022,2
C,76399,6/3/2022,5
C,223,7/22/2022,1
C,101635,9/23/2022,8
B,46591,10/1/2022,16
B,18223,5/12/2022,95
B,18223,7/21/2022,160
D,98809,2/6/2022,40
D,98809,2/9/2022,40
E,12355,3/29/2022,2
B,110122,2/1/2022,1
B,94336,2/20/2022,1
B,36808,4/27/2022,68
D,45484,3/5/2022,2
D,117520,4/13/2022,94
D,42685,4/24/2022,52
D,10924,9/14/2022,1
A,110320,2/2/2022,13
A,117520,5/24/2022,19
A,117925,6/19/2022,12
C,42685,10/17/2022,23
B,36808,1/22/2022,31
C,36808,6/23/2022,17
C,110320,8/18/2022,5
B,117520,4/22/2022,13
C,40939,9/12/2022,2
E,107836,5/3/2022,10
E,117925,6/16/2022,3
D,12247,1/30/2022,1
A,123307,7/24/2022,133
A,898,8/10/2022,80
A,10852,9/1/2022,2
A,23137,9/6/2022,1
D,36808,5/14/2022,148
D,29653,6/21/2022,8
D,36808,7/18/2022,68
C,120994,2/12/2022,6
A,23020,4/22/2022,5
B,101635,1/26/2022,5
B,117610,4/11/2022,7
C,898,4/2/2022,102
B,9979,6/25/2022,3
C,116836,4/20/2022,17
C,117736,5/25/2022,83
E,117736,8/29/2022,3
E,42685,9/16/2022,13
A,898,8/11/2022,72
D,102490,7/16/2022,101.2300006
D,91438,8/1/2022,4
D,25000,10/7/2022,2
C,92482,4/29/2022,9
C,25000,5/20/2022,1
A,117736,9/22/2022,8
B,99457,3/19/2022,2
B,122740,4/13/2022,2
B,40381,5/25/2022,4
D,96136,3/7/2022,14.36999995
D,124414,3/20/2022,9
D,673,3/27/2022,3
D,123307,5/18/2022,164
D,4480,5/18/2022,2
D,10636,9/4/2022,2
B,57976,9/4/2022,2
A,898,8/21/2022,82
E,110878,8/26/2022,5
A,259,2/20/2022,8
A,64816,4/18/2022,1
D,19123,1/23/2022,2
A,120994,5/12/2022,24
A,114658,7/17/2022,4
A,11509,8/4/2022,15
D,94345,7/15/2022,8
C,107836,3/6/2022,11
C,100042,3/20/2022,1
C,123307,8/13/2022,50
C,102967,9/28/2022,1
A,95137,2/9/2022,4
D,23020,3/13/2022,25
B,98809,3/19/2022,13
D,18223,9/26/2022,129
C,119554,1/29/2022,31
E,36808,4/9/2022,20
C,23137,6/26/2022,2
E,36808,5/19/2022,29
B,117196,2/25/2022,1
B,110320,3/12/2022,8
E,25000,10/11/2022,2
B,745,8/14/2022,1
D,10060,3/10/2022,2
D,19114,3/16/2022,2
D,3427,8/27/2022,10
A,23911,3/13/2022,3
C,36808,2/17/2022,33
C,313,6/14/2022,1
C,898,7/11/2022,69
C,117286,9/23/2022,9
B,110878,9/26/2022,12
E,110320,4/12/2022,2
A,123307,3/11/2022,201
A,43135,6/28/2022,8
D,40939,2/20/2022,8
D,124414,6/17/2022,2
D,117736,6/30/2022,34
D,102490,7/21/2022,78.58399975
E,119554,9/21/2022,4
A,117520,9/25/2022,26
D,42685,7/24/2022,37
B,6856,2/15/2022,1
C,10105,3/7/2022,1
B,40759,9/20/2022,7
A,10078,3/13/2022,1
A,96136,6/21/2022,15.29599988
A,952,8/31/2022,2
D,107836,2/24/2022,2
D,117925,3/16/2022,17
D,124396,5/7/2022,3
D,123307,7/5/2022,67
C,898,9/20/2022,39
C,43405,6/11/2022,3
C,30175,6/28/2022,2
C,11293,7/16/2022,4
A,46150,7/15/2022,6
D,121174,2/13/2022,7
D,55906,2/17/2022,1
D,8800,5/25/2022,6
D,120418,6/1/2022,5
C,29941,9/23/2022,11
B,898,4/24/2022,34
D,117520,2/10/2022,23
A,117286,8/7/2022,7
C,45043,3/14/2022,1
C,23020,3/28/2022,2
C,4705,10/8/2022,2
A,45169,5/20/2022,8
D,123478,5/1/2022,5
D,223,7/12/2022,7
C,13003,4/12/2022,1
C,9979,8/5/2022,9
B,98809,7/15/2022,38
B,98809,8/8/2022,24
D,18223,4/4/2022,215
C,29653,6/30/2022,3
A,110356,8/30/2022,1
E,117736,10/4/2022,5
E,101635,9/11/2022,2
B,12220,8/15/2022,1
D,46150,2/4/2022,6
D,92482,3/13/2022,17
A,11509,4/27/2022,10
A,40759,5/7/2022,7
A,232,5/7/2022,1
A,14947,7/6/2022,14
E,898,8/19/2022,21
C,42658,2/1/2022,1
C,119554,8/5/2022,34
A,110320,4/20/2022,6
A,117745,6/5/2022,2
A,57058,7/12/2022,4
A,42685,8/3/2022,16
A,29941,8/24/2022,8
A,123307,9/1/2022,120
D,115846,3/23/2022,1
E,116836,6/29/2022,2
D,259,2/20/2022,13
A,117736,9/13/2022,8
A,117520,10/8/2022,12
D,42685,7/16/2022,54
D,268,8/28/2022,4
A,91438,10/7/2022,7
B,123307,1/28/2022,49
C,110806,2/11/2022,1
B,107836,5/3/2022,24
C,15352,5/25/2022,4
A,268,3/1/2022,5
A,116836,6/28/2022,16
D,104470,4/12/2022,18
D,42847,5/27/2022,3
D,10375,7/4/2022,3
D,123307,8/7/2022,75
D,91438,9/4/2022,21
D,23020,10/16/2022,14
C,6748,7/23/2022,6
B,6640,3/13/2022,21
B,102490,9/23/2022,50.62599957
E,6163,4/13/2022,4
A,40381,3/25/2022,10
A,40759,5/25/2022,11
A,92482,7/31/2022,10
D,40759,2/6/2022,9
D,4480,2/13/2022,2
D,123586,4/15/2022,24
D,9637,6/27/2022,2
D,40939,8/20/2022,17
D,25081,10/1/2022,1
C,115846,1/27/2022,4
B,43504,2/23/2022,1
A,14947,5/8/2022,5
A,40939,5/9/2022,4
A,23938,5/19/2022,2
D,24136,3/29/2022,2
D,110320,4/2/2022,15
A,3679,7/11/2022,7
D,24136,6/30/2022,4
D,14947,9/10/2022,3
C,25000,3/4/2022,2
C,42685,3/11/2022,65
C,120418,6/23/2022,5
B,46591,9/29/2022,17
B,46591,2/13/2022,10
B,18223,3/3/2022,88
A,116836,7/8/2022,24
D,18223,8/16/2022,156
D,18223,9/17/2022,176
C,117520,8/12/2022,7
C,118033,2/26/2022,1
E,110356,10/13/2022,1
A,99250,8/29/2022,2
A,117520,9/10/2022,42
B,259,3/8/2022,3
B,11293,5/25/2022,10
D,29653,2/3/2022,29
D,259,2/9/2022,9
D,3652,8/25/2022,11
A,11509,5/20/2022,14
A,91438,6/20/2022,7
C,119554,4/10/2022,85
C,36808,5/19/2022,44
C,96136,5/20/2022,1.072000027
B,40381,4/6/2022,8
B,43738,6/19/2022,3
E,29896,3/16/2022,1
A,123307,5/24/2022,264
D,117925,2/10/2022,27
D,123586,4/5/2022,3
D,122767,6/17/2022,19
A,123307,6/6/2022,99
A,9979,7/19/2022,2
D,124414,4/1/2022,2
D,55879,7/24/2022,8
D,42685,8/1/2022,9
B,110356,2/13/2022,1
B,14947,6/21/2022,4
B,110878,9/24/2022,1
B,12355,10/15/2022,3
C,92491,6/28/2022,12
C,10204,10/6/2022,40
E,36808,4/8/2022,11
E,27790,7/21/2022,1
A,57058,5/1/2022,3
D,117376,2/21/2022,15
D,114658,6/30/2022,1
A,95443,10/2/2022,3
C,40939,5/12/2022,12
A,40759,6/4/2022,16
D,117358,9/27/2022,1
A,119554,9/10/2022,17
B,123307,7/28/2022,50
A,23938,1/30/2022,6
A,40381,6/13/2022,12
D,29653,9/24/2022,11
D,3022,9/28/2022,4
C,117376,3/10/2022,2
C,123307,9/21/2022,79
A,107224,9/2/2022,6
A,107863,9/10/2022,6
C,97486,2/1/2022,1
C,117610,2/12/2022,1
C,4741,2/27/2022,2
B,18223,3/6/2022,119
A,6163,8/7/2022,12
D,98809,2/12/2022,28
E,121174,4/9/2022,1
E,12247,4/23/2022,3
B,45412,3/2/2022,5
B,117520,4/4/2022,12
B,42685,5/23/2022,4
B,107836,6/30/2022,8
D,117520,2/5/2022,22
D,75463,5/16/2022,1
A,898,2/16/2022,101
B,57976,7/25/2022,1
C,16009,3/24/2022,1
C,36808,8/7/2022,37
C,123307,8/23/2022,156
C,123667,8/24/2022,1
B,117925,6/21/2022,12
B,1942,6/21/2022,2
E,123307,7/30/2022,17
D,114658,2/28/2022,5
A,4741,8/27/2022,3
B,117736,3/5/2022,6
D,36808,9/11/2022,71
B,6640,2/27/2022,10
B,13633,4/1/2022,1
B,113281,5/16/2022,5
C,117736,3/19/2022,12
B,40759,6/8/2022,11
B,42685,9/23/2022,20
C,43135,7/15/2022,5
C,94876,8/4/2022,1
C,4480,8/20/2022,2
A,114658,2/12/2022,2
A,93895,3/23/2022,4
A,117925,4/9/2022,17
D,36808,1/28/2022,72
D,123478,2/10/2022,2
D,23020,5/16/2022,25
D,36808,6/1/2022,92
D,36808,7/26/2022,72
D,46150,7/28/2022,6
A,36808,9/28/2022,77
C,46150,5/21/2022,6
B,57976,2/16/2022,1
B,110338,3/7/2022,1
A,91438,6/4/2022,4
A,123730,6/20/2022,6
D,101635,4/5/2022,3
D,40759,8/4/2022,13
C,117745,2/14/2022,28
A,3679,10/13/2022,4
A,115846,10/15/2022,12
A,13408,9/29/2022,1
A,107863,5/5/2022,8
D,30454,2/4/2022,2
C,107224,7/25/2022,1
A,898,1/25/2022,3
B,98809,2/20/2022,16
C,2806,9/18/2022,3
A,110320,8/17/2022,4
D,36808,2/21/2022,79
D,40759,2/13/2022,12
D,268,8/27/2022,10
C,123307,9/13/2022,113
B,898,2/16/2022,36
E,123307,7/6/2022,7
B,117520,4/6/2022,9
E,123307,10/9/2022,6
D,123307,2/9/2022,161
D,95119,5/17/2022,5
A,110806,2/2/2022,2
A,31579,6/30/2022,2
C,122686,10/16/2022,2
E,1231,8/30/2022,4
C,123307,5/25/2022,277
C,122767,6/21/2022,22
B,94336,1/29/2022,1
B,43135,5/7/2022,6
E,116836,3/20/2022,3
B,102490,9/9/2022,20.074
E,14848,6/20/2022,1
E,40201,6/30/2022,1
A,29896,3/6/2022,2
A,110122,4/26/2022,2
A,97486,5/28/2022,2
D,11230,5/22/2022,1
D,123307,6/9/2022,62
C,23146,1/29/2022,4
C,95137,3/10/2022,8
B,107836,6/2/2022,11
C,6163,9/11/2022,7
E,40759,6/18/2022,2
A,117376,2/11/2022,32
D,95137,3/8/2022,9
D,29311,6/3/2022,2
D,57058,10/7/2022,5
B,92491,7/31/2022,6
A,12247,3/27/2022,5
A,1672,5/1/2022,4
A,117196,5/14/2022,1
A,29653,6/7/2022,6
A,23938,7/16/2022,4
D,115846,10/1/2022,15
C,1672,4/11/2022,42
A,9637,10/14/2022,1
D,43135,4/11/2022,18
D,23146,5/30/2022,4
C,116062,4/23/2022,3
C,11509,5/13/2022,9
C,40759,8/9/2022,3
A,117376,3/12/2022,1
A,76399,8/22/2022,7
A,40381,9/11/2022,14
D,36808,8/10/2022,63
C,105604,4/25/2022,12
C,10204,6/26/2022,31
B,46591,9/16/2022,14
B,18223,7/7/2022,132
D,18223,6/13/2022,218
D,98809,8/5/2022,29
C,36808,5/20/2022,32
C,43738,4/2/2022,3
C,6640,9/1/2022,3
D,41686,8/18/2022,2
A,116836,6/27/2022,9
E,117736,10/10/2022,3
B,13795,7/12/2022,2
B,23785,8/27/2022,3
D,6640,3/13/2022,21
D,43135,7/22/2022,20
A,91438,2/19/2022,19
A,75463,3/10/2022,2
A,107836,5/2/2022,59
B,12355,8/19/2022,1
E,107863,9/13/2022,4
C,40759,7/9/2022,41
B,116836,5/3/2022,3
E,13795,3/24/2022,2
A,123307,2/28/2022,62
A,43135,4/30/2022,14
A,7396,7/6/2022,2
A,11230,9/2/2022,4
D,117520,4/23/2022,35
D,43135,7/15/2022,20
C,55906,8/7/2022,1
C,123307,8/16/2022,65
B,42685,6/20/2022,19
A,95119,5/20/2022,3
D,121714,6/10/2022,3
A,119554,10/15/2022,19
C,19114,2/14/2022,6
B,13003,4/11/2022,1
B,24136,6/5/2022,3
C,36808,8/21/2022,59
C,1204,10/8/2022,1
E,122767,8/23/2022,9
D,9979,3/10/2022,5
D,124414,5/13/2022,5
D,88,7/28/2022,1
D,898,9/1/2022,20
C,529,8/22/2022,1
C,10636,5/12/2022,1
C,42685,6/21/2022,33
C,43135,8/4/2022,6
B,10105,3/8/2022,1
B,13795,7/15/2022,2
B,23371,7/23/2022,1
B,123307,9/15/2022,39
B,104470,10/1/2022,5
A,110320,2/9/2022,7
A,2977,2/19/2022,1
A,117736,5/14/2022,51
D,116962,5/6/2022,4
D,3328,5/22/2022,4
D,110320,10/1/2022,21
B,102490,9/6/2022,23.78400016
B,116836,7/19/2022,7
A,898,1/28/2022,40
A,110320,4/11/2022,8
A,6163,5/12/2022,73
D,121174,3/6/2022,2
A,100537,8/4/2022,1
C,11293,3/21/2022,5
C,11842,4/2/2022,1
E,952,7/8/2022,9
A,42154,2/21/2022,9.133999825
A,23020,5/28/2022,5
A,42685,8/10/2022,35
A,42685,8/22/2022,14
D,117520,2/23/2022,15
D,117520,4/2/2022,35
C,7396,2/27/2022,3
E,18223,9/22/2022,16
D,98809,4/26/2022,24
C,119554,6/29/2022,35
C,24136,9/14/2022,1
A,107836,7/31/2022,80
C,118033,1/26/2022,5
B,40381,4/5/2022,3
E,40381,7/17/2022,5
E,110077,10/13/2022,1
D,123307,4/7/2022,160
D,122767,7/28/2022,18
D,100501,9/1/2022,2
A,107836,5/31/2022,45
B,36808,8/15/2022,28
E,23785,9/30/2022,3
C,40939,2/9/2022,6
C,40381,6/14/2022,9
C,43738,9/20/2022,3
B,92491,6/13/2022,4
B,95137,9/17/2022,1
A,4705,4/10/2022,25
A,117925,4/11/2022,10
D,123307,3/24/2022,202
D,23020,4/1/2022,9
D,898,9/7/2022,27
A,96136,8/11/2022,31.30599964
D,117610,5/13/2022,11
D,117520,6/18/2022,19
A,27790,9/5/2022,2
B,117736,2/26/2022,18
B,115846,6/5/2022,3
C,124414,8/20/2022,1
C,111985,8/27/2022,1
A,12355,4/19/2022,7
A,107836,4/29/2022,105
A,119554,8/26/2022,15
D,9628,1/26/2022,2
D,107224,4/18/2022,9
D,95137,7/9/2022,12
D,259,9/24/2022,10
A,123307,8/4/2022,92
B,117745,4/25/2022,40
B,36808,8/29/2022,55
A,9925,2/2/2022,4
A,91438,2/8/2022,11
A,295,3/25/2022,2
A,40759,5/8/2022,8
A,102490,5/29/2022,29.79999971
D,10591,6/26/2022,2
D,123307,6/28/2022,54
C,13741,2/22/2022,1
A,114658,10/6/2022,4
B,42847,3/6/2022,1
E,42685,7/14/2022,11
A,118033,3/30/2022,4
A,673,5/15/2022,6
D,120418,2/15/2022,6
D,14947,4/11/2022,4
A,23785,7/21/2022,5
D,13948,5/18/2022,1
C,10654,3/26/2022,2
C,116836,5/3/2022,19
C,11509,5/14/2022,5
C,117520,7/4/2022,5
A,36808,4/24/2022,67
A,6163,7/28/2022,17
A,29653,9/17/2022,4
A,95137,9/23/2022,5
C,4930,1/28/2022,2
C,91438,3/29/2022,6
C,10852,5/15/2022,3
C,116836,5/15/2022,13
B,18223,8/31/2022,165
B,18223,9/23/2022,114
B,18223,3/10/2022,140
E,9979,5/5/2022,8
A,123694,6/18/2022,6
C,898,4/23/2022,50
D,110671,9/4/2022,1
A,29653,8/29/2022,10
B,10852,2/1/2022,1
B,107863,4/19/2022,5
B,3328,8/16/2022,7
D,259,1/23/2022,15
D,117925,1/25/2022,27
D,43279,3/26/2022,2
D,23785,4/5/2022,11
D,610,4/12/2022,3
D,117187,6/16/2022,3
D,25000,9/3/2022,4
A,36808,7/19/2022,77
E,55906,9/27/2022,1
C,40759,2/27/2022,5
B,110320,1/30/2022,5
C,36808,7/22/2022,30
C,119554,8/21/2022,13
B,4741,5/9/2022,3
E,259,3/13/2022,2
B,3652,9/12/2022,8
A,119779,2/20/2022,9
A,13003,4/13/2022,5
D,120418,3/5/2022,9
A,119554,10/18/2022,10
E,36808,5/2/2022,16
D,42154,9/2/2022,12.17200017
A,117286,9/28/2022,2
A,110320,10/6/2022,28
B,43135,3/20/2022,3
C,117520,3/21/2022,7
B,117520,7/13/2022,17
A,952,2/21/2022,4
A,42685,8/20/2022,43
A,117736,8/22/2022,7
D,29653,2/9/2022,9
D,8800,3/6/2022,5
D,94948,3/24/2022,3
D,104470,5/30/2022,16
D,123307,6/10/2022,61
D,259,7/26/2022,13
D,119554,8/15/2022,33
C,23146,9/3/2022,6
C,40381,6/5/2022,12
C,11230,7/26/2022,1
B,107836,5/20/2022,8
B,123667,6/16/2022,3
B,42154,8/2/2022,24.62999988
D,6163,3/8/2022,10
D,30778,3/13/2022,6
D,117925,4/10/2022,29
D,268,6/28/2022,4
D,27790,7/5/2022,2
A,111868,10/11/2022,1
B,39238,8/27/2022,1
A,116836,8/25/2022,10
B,11293,3/18/2022,7
B,122767,7/10/2022,4
C,110356,2/19/2022,6
D,102769,4/13/2022,2
C,36808,4/20/2022,54
C,43135,5/28/2022,6
C,122767,7/7/2022,9
B,18223,5/28/2022,133
D,18223,9/2/2022,175
C,119554,5/27/2022,38
C,10924,7/9/2022,53
A,57976,8/3/2022,2
A,2806,5/16/2022,32
C,40759,3/21/2022,16
C,898,4/5/2022,91
B,116836,2/1/2022,15
E,24136,6/18/2022,1
B,102490,6/26/2022,22.38400006
B,11293,9/25/2022,7
D,538,2/17/2022,1
D,42847,2/21/2022,5
A,40939,4/5/2022,6
A,96136,6/11/2022,48.14799976
B,10366,5/23/2022,1
C,12355,9/30/2022,2
E,92491,4/7/2022,3
A,119779,2/23/2022,1
D,124414,1/24/2022,1
A,36808,7/24/2022,117
D,107863,3/12/2022,5
D,76399,5/14/2022,3
B,9979,3/13/2022,1
E,19114,7/17/2022,4
D,3679,7/23/2022,7
D,120400,8/1/2022,1
D,93913,10/17/2022,2
C,3679,1/22/2022,7
C,43405,3/2/2022,3
C,110320,3/25/2022,6
B,110230,6/18/2022,1
C,42685,4/20/2022,15
C,123307,5/15/2022,110
C,8800,6/4/2022,4
A,13795,3/28/2022,6
D,42685,2/10/2022,16
D,9925,3/11/2022,2
D,36808,8/6/2022,83
D,23020,10/9/2022,6
D,304,10/5/2022,3
C,40381,9/1/2022,11
C,119554,5/23/2022,15
C,36808,5/31/2022,77
C,93913,7/26/2022,1
A,97531,3/18/2022,1
A,42154,4/4/2022,35.88000041
D,100753,2/5/2022,9
D,93679,4/17/2022,4
C,124414,1/22/2022,3
C,41326,1/31/2022,1
C,538,3/14/2022,2
A,23911,5/29/2022,4
C,36808,3/4/2022,52
A,19123,4/11/2022,1
C,92491,2/22/2022,3
C,10204,7/12/2022,34
B,18223,9/5/2022,115
B,98809,9/16/2022,24
B,46591,3/20/2022,11
D,123307,4/21/2022,4
C,119554,8/15/2022,19
A,529,5/26/2022,3
A,123307,9/27/2022,95
C,10204,7/30/2022,20
B,18223,3/30/2022,141
D,18223,4/26/2022,158
D,91438,2/15/2022,11
D,36808,2/22/2022,75
D,117520,2/24/2022,27
D,781,7/2/2022,1
D,29653,9/6/2022,9
A,107863,4/6/2022,10
A,9925,7/9/2022,5
C,117610,6/23/2022,5
A,106054,8/11/2022,2
C,898,1/26/2022,144
C,10924,2/9/2022,2
B,117520,3/11/2022,12
C,30175,7/31/2022,2
C,119554,8/27/2022,30
B,120994,6/25/2022,2
B,36808,10/11/2022,44
A,123334,3/20/2022,4
A,91438,4/29/2022,7
A,91438,4/30/2022,9
A,123307,6/26/2022,100
A,117925,7/6/2022,14
D,97486,2/3/2022,2
A,40381,8/31/2022,12
D,42154,6/14/2022,34.52799988
D,117610,6/17/2022,4
D,91438,6/21/2022,9
D,91438,7/21/2022,10
A,119554,2/23/2022,21
A,23137,3/4/2022,3
A,43135,4/12/2022,9
A,12355,5/27/2022,7
D,45421,8/23/2022,2
D,118033,10/16/2022,4
B,23785,1/31/2022,1
B,120994,3/28/2022,6
B,610,4/13/2022,1
B,102490,5/24/2022,23.21599996
B,11230,8/5/2022,1
C,898,10/3/2022,96
C,898,10/4/2022,83
A,116836,2/2/2022,30
E,110878,10/5/2022,3
A,117520,2/18/2022,27
E,122767,10/12/2022,9
A,4597,3/9/2022,1
D,117520,2/9/2022,16
D,116062,4/6/2022,1
D,43135,7/17/2022,10
B,11293,4/23/2022,12
B,40759,5/15/2022,2
B,29896,7/18/2022,1
B,104470,9/11/2022,13
B,123307,10/5/2022,35
E,40759,4/2/2022,16
A,6748,3/9/2022,2
A,104470,3/9/2022,7
A,1672,4/4/2022,101
D,40381,2/24/2022,7
D,6640,2/27/2022,13
D,25081,3/19/2022,2
D,96136,4/30/2022,30.6500001
D,117736,6/1/2022,32
D,122767,6/24/2022,8
C,123307,9/29/2022,113
B,4480,3/4/2022,2
B,55879,6/2/2022,2
B,119554,7/2/2022,7
A,117736,4/27/2022,94
A,122686,5/6/2022,3
A,117925,6/26/2022,108
A,119554,7/15/2022,31
D,1672,5/31/2022,6
D,10105,7/25/2022,1
C,117520,2/8/2022,6
C,36808,5/6/2022,75
C,99457,5/9/2022,5
C,13795,6/29/2022,4
A,117736,2/20/2022,11
A,2806,7/18/2022,3
C,6856,4/20/2022,8
C,113281,7/14/2022,8
B,637,3/18/2022,1
B,18223,7/31/2022,183
B,18223,8/9/2022,159
D,18223,5/6/2022,169
D,98809,6/16/2022,35
D,18223,9/22/2022,95
C,119554,9/8/2022,25
A,673,8/30/2022,2
D,117610,4/10/2022,27
B,18223,7/22/2022,151
D,18223,3/24/2022,199
E,36808,8/30/2022,13
E,123307,9/28/2022,22
B,111382,6/20/2022,1
D,8800,2/15/2022,2
D,23938,3/5/2022,8
D,4741,4/28/2022,4
D,110320,10/6/2022,29
A,46150,2/12/2022,8
C,57976,4/9/2022,4
C,15352,5/17/2022,5
E,117736,8/30/2022,9
C,45421,1/31/2022,2
C,29896,5/2/2022,8
C,36808,5/24/2022,31
B,117925,2/3/2022,3
E,117736,5/3/2022,23
A,120418,2/25/2022,2
A,57976,3/6/2022,6
D,898,3/5/2022,38
D,123694,3/17/2022,3
A,11509,9/7/2022,12
C,120418,4/12/2022,13
B,1672,3/27/2022,35
D,46150,3/6/2022,5
D,223,9/9/2022,7
A,898,9/14/2022,48
B,23938,4/17/2022,10
B,110122,6/18/2022,2
B,107224,9/2/2022,2
C,952,7/4/2022,3
E,898,7/26/2022,17
A,40759,3/19/2022,22
A,4705,7/28/2022,1
D,93913,1/26/2022,1
D,123307,1/26/2022,78
D,116836,2/4/2022,45
D,106054,3/6/2022,4
D,98584,3/21/2022,1
D,117520,4/10/2022,66
D,40759,9/9/2022,19
D,57058,10/18/2022,4
C,107836,8/27/2022,29
A,119554,9/19/2022,18
B,117925,4/4/2022,6
B,11293,5/2/2022,10
B,6163,9/2/2022,8
A,123586,4/12/2022,1
A,111976,4/20/2022,1
